SQ1,SQ2,SQ3,SQ5,SQ7,SQ8,Q2_7,Q2_8,Q2_9,Q2_10,Q4_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q12_2,Q14_2,Q17,Q18,Q19,Q20,Q22,Q23,Q28,Q29,Q30,Q31,Q38,Q39,Q41
2,33,11,7,21,2,8,8,10,9,1,1,9,8,9,9,9,9,9,18,2,14,1,1,1,2,1,1,8,2,1,2,6,1
2,45,40,7,21,2,7,6,5,6,3,3,7,5,6,7,8,6,7,3,2,35,4,1,2,2,1,1,8,3,2,4,3,3
1,42,14,7,8,2,7,7,8,7,2,9,6,6,5,6,6,6,6,18,24,30,3,5,1,1,2,1,24,2,3,1,3,6
1,47,34,7,8,2,9,8,9,9,2,7,8,8,8,8,9,9,9,4,12,5,1,3,1,1,2,1,8,3,1,5,3,11
1,51,23,7,25,2,7,7,7,7,2,3,7,6,6,7,6,7,6,18,2,20,1,3,1,1,2,5,,,3,1,8,2
1,41,13,7,24,1,9,9,9,7,1,9,7,8,7,10,8,8,10,18,28,60,1,15,4,1,2,3,,,4,1,8,2
1,57,13,7,8,2,8,8,8,8,2,11,8,8,8,8,8,8,8,18,28,20,1,5,1,3,2,1,8,1,1,1,5,4
2,34,4,8,8,1,5,5,5,5,3,7,5,6,5,5,5,5,5,6,12,120,2,1,3,2,2,1,8,2,2,2,7,5
1,46,42,7,2,2,7,7,8,7,2,7,8,7,7,7,9,7,7,17,21,2,3,2,3,1,1,7,,,4,2,4,9
2,30,6,7,12,1,6,6,7,5,3,2,6,6,7,5,6,6,7,5,8,60,4,5,3,3,2,5,,,1,6,3,5
1,56,13,7,21,1,5,5,5,5,3,9,5,5,5,5,5,5,5,18,2,30,5,3,1,1,2,1,2,2,3,6,3,11
1,29,27,7,24,1,5,4,5,4,3,9,7,6,6,5,7,5,5,18,28,120,3,10,4,3,2,1,12,3,4,6,3,8
2,48,13,7,8,2,5,5,5,5,2,10,6,5,5,5,5,5,5,18,28,10,1,2,1,1,1,1,8,2,1,6,3,6
2,43,27,7,8,2,6,5,6,5,2,4,8,8,7,7,8,6,7,18,28,1,4,1,2,1,1,1,28,,2,6,2,3
2,43,13,7,25,2,5,5,6,5,3,10,5,5,4,5,5,5,5,18,2,15,1,3,1,1,2,1,25,1,4,1,3,5
2,29,13,7,25,1,8,6,8,8,2,8,8,7,4,8,5,8,7,18,27,60,1,5,4,1,2,1,27,6,4,4,3,9
1,41,28,8,8,1,7,7,8,8,2,9,7,8,7,8,7,7,7,18,28,20,2,20,7,3,1,1,8,4,2,2,3,14
1,37,11,7,25,2,8,8,8,8,2,9,8,8,6,8,7,8,8,18,8,10,1,2,1,1,1,1,8,1,3,2,3,9
2,33,11,7,27,2,6,6,6,6,2,11,6,5,5,5,7,5,7,11,2,180,3,1,1,1,2,1,2,6,1,4,6,14
2,49,40,7,27,2,10,10,10,10,1,5,10,10,10,10,10,10,10,2,2,10,3,3,1,1,2,9,,,1,1,3,2
2,32,27,7,8,2,8,8,8,8,2,2,6,8,7,9,7,7,9,6,25,45,1,3,1,1,1,1,8,6,1,2,8,6
1,55,13,8,2,2,8,8,10,9,2,7,8,8,7,8,9,9,8,2,24,40,2,3,1,1,2,1,28,,3,5,5,14
2,41,13,7,8,2,4,5,5,6,2,9,7,6,6,7,5,6,7,18,28,15,1,3,3,1,2,1,8,1,1,2,3,8
2,32,35,7,8,1,6,8,3,7,3,16,5,7,6,4,8,6,6,14,17,30,6,5,4,1,3,10,,,1,1,3,14
1,44,12,7,8,2,6,7,5,5,3,10,5,5,6,6,6,5,6,18,28,20,6,5,1,1,3,1,28,,4,2,3,7
2,37,24,7,8,1,7,5,7,7,2,4,8,8,7,6,8,8,8,15,2,30,1,3,2,1,3,1,8,2,3,2,7,3
2,22,13,7,2,1,7,7,7,7,3,11,7,6,6,6,6,7,7,16,8,7,1,3,4,1,3,1,21,3,1,4,2,14
2,30,26,7,8,1,7,8,7,7,1,1,10,8,8,7,8,9,8,2,12,30,1,3,2,2,2,7,,,1,2,3,10
1,33,12,7,25,2,7,7,7,8,2,16,8,7,6,6,7,6,7,4,8,30,3,10,1,1,3,1,25,1,3,1,3,3
2,47,14,7,8,1,6,6,10,10,1,13,9,8,8,8,8,8,9,18,28,30,4,5,1,1,3,1,8,2,2,6,3,4
1,59,11,7,2,2,2,2,2,2,5,19,1,1,1,1,1,1,1,18,28,14,1,2,1,1,2,10,,,4,2,3,5
2,36,24,7,8,1,7,7,7,7,2,19,7,7,7,7,7,7,7,2,28,60,4,2,1,2,1,1,8,4,2,4,3,14
2,46,12,7,8,1,3,5,7,5,3,19,10,8,6,4,5,3,10,18,28,10,1,20,1,2,2,1,8,3,2,5,2,14
2,33,12,7,25,2,7,6,6,7,2,11,5,5,5,8,6,9,8,3,8,60,1,2,3,1,2,1,8,2,3,2,7,7
2,33,24,7,8,1,10,10,9,10,1,9,10,10,10,10,10,9,9,5,28,7,1,1,2,1,2,1,8,2,4,6,7,10
1,41,11,7,25,1,7,8,10,10,1,10,10,10,6,7,7,10,6,18,8,20,1,2,2,1,2,1,28,,3,1,2,4
1,51,26,8,8,1,4,5,5,4,3,10,8,7,6,8,9,9,8,8,28,30,4,10,1,1,2,4,,,4,2,6,14
2,45,11,7,8,1,8,7,6,7,2,10,7,7,6,7,8,5,7,6,28,60,1,3,1,1,2,1,8,3,1,4,8,14
1,36,27,7,8,2,4,8,7,8,2,9,8,6,4,4,6,7,7,5,2,60,2,5,1,1,2,1,8,3,1,2,3,14
2,33,26,7,25,1,6,7,7,7,3,9,6,6,6,6,6,6,6,18,28,30,3,10,1,2,2,5,,,2,1,2,2
1,47,14,7,8,1,5,5,5,5,3,7,5,5,5,5,5,5,5,18,28,20,1,5,4,1,2,1,8,1,1,6,3,8
2,38,11,7,8,2,10,9,10,10,2,11,10,9,8,9,8,9,8,2,1,60,3,3,1,1,1,1,8,2,3,1,4,14
2,40,20,7,27,1,8,8,9,9,1,1,10,9,10,10,10,9,10,11,28,30,3,3,3,1,2,7,,,1,4,3,3
2,34,22,7,8,1,8,8,8,8,2,13,8,8,8,8,8,8,8,6,2,40,1,3,1,1,2,1,8,6,2,1,3,3
2,32,11,7,25,1,7,8,7,8,3,11,5,6,5,6,6,6,5,18,8,60,4,3,1,1,2,5,,,1,1,3,3
